PC1,PC2,Classes
-47.68038196481604,3.4129887174262796,not fire
-47.904491128923326,-0.07924817684984607,not fire
-53.700247348005334,-26.599476505644432,not fire
-57.76328140195894,-41.62135044324007,not fire
-43.17019119673067,-13.899485881993844,not fire
-30.310038464007768,3.0475928548963735,fire
-18.036240943466314,16.05914859706943,fire
-11.677184063661462,-0.9564268319230034,fire
-20.5554035781011,-33.9196198629083,not fire
-8.592947971760175,-16.99464006504489,not fire
3.9765876092562706,-0.3274805158928732,fire
9.948667301514424,-14.380587123033251,fire
-41.3418616975406,-28.07394522511084,not fire
-48.62039615237212,-16.420438370034024,not fire
-51.44771618562322,-23.758397702745143,not fire
-54.499834565162935,-37.73653340732755,not fire
-54.28684699611196,-37.30523982382636,not fire
-49.53815952506271,-18.01696124597909,not fire
-35.057047309711315,10.543596219621119,not fire
-30.64946411780116,-22.40151835920566,not fire
-21.187685537227047,-9.19327364026947,fire
-12.743899365364605,-3.893962520980754,not fire
-3.431356020403029,-0.21641320350252485,fire
6.46328437095511,-1.0819988968179073,fire
15.743201476250148,-0.4005219495348368,fire
25.07939253824085,-1.2511851981325797,fire
36.808125566396804,8.266417184316358,fire
45.80971056163914,5.0688737839578195,fire
36.92986142787439,3.086252217317403,not fire
49.230767355127455,6.868005648941067,fire
-48.96607346485401,-8.418329129469507,not fire
-50.53518953811165,-16.222703388925556,not fire
-48.248371552153074,-12.442005449194838,not fire
-35.8210905291045,-5.779451622756931,not fire
-23.258559927661295,5.565489322117761,fire
-12.630645450871015,7.112368652626627,fire
-11.431217650965039,0.6428964426705769,not fire
-0.13794784410677735,0.023740607126383553,fire
-44.23838848074764,-3.772768207932063,not fire
-44.90645557524847,-4.749472942691229,not fire
-33.24479867414991,-3.395370790124612,not fire
-25.83740499176283,-8.711066552099624,not fire
-15.063145578000185,-10.484545418694731,not fire
-29.19282417115508,2.294225069447615,not fire
-39.519316926776796,-18.987736359021564,not fire
-28.54318592281864,-11.6191333090269,not fire
-16.776206071509733,-1.8738826703976774,fire
-6.124143277656134,0.23119782580783158,fire
5.830748102141187,7.926608988907211,fire
11.372574668709888,-4.653783014627832,fire
23.775367203279917,-6.194704564859702,fire
27.244714164386252,-24.033525520710782,not fire
16.75585920670191,-16.856847621998575,not fire
23.28579146350656,-26.804438034744813,not fire
37.46801670317573,-9.112945735683935,fire
52.0599540867343,3.697867124293862,fire
64.23003424805783,6.655429899189565,fire
70.32874981633374,-19.59557053958536,fire
80.35927971605169,-19.122922391147803,fire
88.75844337858386,-26.518801878288045,fire
101.7474787387927,-14.543406226654414,fire
-41.31726489370837,20.326115166249302,not fire
-42.01826827277478,12.545830357794948,not fire
-42.838804655492595,5.702915322222514,not fire
-31.34126363289614,4.747467845615498,fire
-19.822029851304404,7.403657009208349,fire
-10.942506282212157,-2.2840157587326786,fire
-0.19877679508209853,0.5550737701532628,fire
-4.762510913250339,0.13726039023271133,not fire
9.015704051969402,7.138420976693636,fire
20.861015477969918,9.70907142951918,fire
31.032768769755037,2.0473547817694846,fire
25.526661146408916,4.013230499946284,not fire
37.14817254868733,-2.068346823579384,fire
47.01543940972921,-6.291983067350116,fire
42.12860663776356,-1.957615670729436,fire
37.18905715091117,-8.670122682669039,fire
52.68976786537773,4.298529826388267,fire
64.12446143572436,1.3183955499575835,fire
74.42789914517056,-6.3797158613935165,fire
84.05780301246688,-13.442186439631975,fire
96.70425466788204,-7.250131130074769,fire
108.63921033323325,-5.986931847018293,fire
120.52022240497416,-5.49009549105248,fire
129.73926882269322,-16.38893999961734,fire
140.93234384588024,-15.341725994491798,fire
147.46140280395824,-34.56791367174266,fire
156.6876927315886,-40.07429969563831,fire
170.83233031119013,-24.21765282313642,fire
184.96998848994818,-11.052894239643447,fire
126.45572869405625,-39.114202690830545,not fire
-45.817318408834815,-22.737919598593194,not fire
-53.648181606404705,-22.70533182960561,not fire
-57.7590527069566,-39.08305225129034,not fire
-54.19772261283994,-26.02609322658752,not fire
-41.41575566840245,-9.253126976129149,not fire
-30.89239286188285,-5.196784945876152,fire
-23.981457903322795,-9.544856109030192,not fire
-26.750108723476846,-10.167068253626505,not fire
-48.52768872755098,-11.09610249194101,not fire
-49.96371976169654,-17.44741878505535,not fire
-48.35275679091825,-12.066328250981401,not fire
-49.46415514654677,-16.495940650055083,not fire
-40.38854587024083,-19.320960053283297,not fire
-54.17879845750953,-33.722289025782615,not fire
-52.86737452465978,-23.37666717832259,not fire
-53.39511733282531,-28.438859385654442,not fire
-37.4236322958368,1.9268696802670877,not fire
-24.48474274671685,16.96462423069666,fire
-13.930800073593831,19.272252659260534,fire
-5.532700631824406,11.792652981828793,fire
-1.1723945579061714,-14.31152272943121,fire
11.652280642030581,8.974266783817562,fire
-8.095761213271423,8.176110168022204,not fire
-20.733374231381926,4.926032725976343,not fire
-37.82543188710378,-3.8184857126395904,not fire
-50.5514406349287,-26.098256262129663,not fire
